year	month	day	monthday	link	city	state
2014	09	03	Sep 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2169.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2189.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2190.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2191.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2202.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2199.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2204.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2206.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2212.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2210.MOV")	Washington	District of Columbia
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2106.MOV")	Water Mill	New York
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2231.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2235.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2237.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2256.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2240.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2260.mov")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2257.MOV")	Washington	District of Columbia
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2234.MOV")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2265.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2268.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2266.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2269.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2263.mov")	Washington	District of Columbia
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2108.MOV")	Water Mill	New York
2014	09	05	Sep 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2239.MOV")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2262.MOV")	Amagansett	New York
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2275.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2267.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2276.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2279.mov")	Washington	District of Columbia
2014	09	06	Sep 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2278.mov")	Washington	District of Columbia
